"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HUR","TOT","PC_LF","Q","1960-Q1",5.133333,
"USA","HUR","TOT","PC_LF","Q","1960-Q2",5.233333,
"USA","HUR","TOT","PC_LF","Q","1960-Q3",5.533333,
"USA","HUR","TOT","PC_LF","Q","1960-Q4",6.266667,
"USA","HUR","TOT","PC_LF","Q","1961-Q1",6.8,
"USA","HUR","TOT","PC_LF","Q","1961-Q2",7,
"USA","HUR","TOT","PC_LF","Q","1961-Q3",6.766667,
"USA","HUR","TOT","PC_LF","Q","1961-Q4",6.2,
"USA","HUR","TOT","PC_LF","Q","1962-Q1",5.633333,
"USA","HUR","TOT","PC_LF","Q","1962-Q2",5.533333,
"USA","HUR","TOT","PC_LF","Q","1962-Q3",5.566667,
"USA","HUR","TOT","PC_LF","Q","1962-Q4",5.533333,
"USA","HUR","TOT","PC_LF","Q","1963-Q1",5.766667,
"USA","HUR","TOT","PC_LF","Q","1963-Q2",5.733333,
"USA","HUR","TOT","PC_LF","Q","1963-Q3",5.5,
"USA","HUR","TOT","PC_LF","Q","1963-Q4",5.566667,
"USA","HUR","TOT","PC_LF","Q","1964-Q1",5.466667,
"USA","HUR","TOT","PC_LF","Q","1964-Q2",5.2,
"USA","HUR","TOT","PC_LF","Q","1964-Q3",5,
"USA","HUR","TOT","PC_LF","Q","1964-Q4",4.966667,
"USA","HUR","TOT","PC_LF","Q","1965-Q1",4.9,
"USA","HUR","TOT","PC_LF","Q","1965-Q2",4.666667,
"USA","HUR","TOT","PC_LF","Q","1965-Q3",4.366667,
"USA","HUR","TOT","PC_LF","Q","1965-Q4",4.1,
"USA","HUR","TOT","PC_LF","Q","1966-Q1",3.866667,
"USA","HUR","TOT","PC_LF","Q","1966-Q2",3.833333,
"USA","HUR","TOT","PC_LF","Q","1966-Q3",3.766667,
"USA","HUR","TOT","PC_LF","Q","1966-Q4",3.7,
"USA","HUR","TOT","PC_LF","Q","1967-Q1",3.833333,
"USA","HUR","TOT","PC_LF","Q","1967-Q2",3.833333,
"USA","HUR","TOT","PC_LF","Q","1967-Q3",3.8,
"USA","HUR","TOT","PC_LF","Q","1967-Q4",3.9,
"USA","HUR","TOT","PC_LF","Q","1968-Q1",3.733333,
"USA","HUR","TOT","PC_LF","Q","1968-Q2",3.566667,
"USA","HUR","TOT","PC_LF","Q","1968-Q3",3.533333,
"USA","HUR","TOT","PC_LF","Q","1968-Q4",3.4,
"USA","HUR","TOT","PC_LF","Q","1969-Q1",3.4,
"USA","HUR","TOT","PC_LF","Q","1969-Q2",3.433333,
"USA","HUR","TOT","PC_LF","Q","1969-Q3",3.566667,
"USA","HUR","TOT","PC_LF","Q","1969-Q4",3.566667,
"USA","HUR","TOT","PC_LF","Q","1970-Q1",4.166667,
"USA","HUR","TOT","PC_LF","Q","1970-Q2",4.766667,
"USA","HUR","TOT","PC_LF","Q","1970-Q3",5.166667,
"USA","HUR","TOT","PC_LF","Q","1970-Q4",5.833333,
"USA","HUR","TOT","PC_LF","Q","1971-Q1",5.933333,
"USA","HUR","TOT","PC_LF","Q","1971-Q2",5.9,
"USA","HUR","TOT","PC_LF","Q","1971-Q3",6.033333,
"USA","HUR","TOT","PC_LF","Q","1971-Q4",5.933333,
"USA","HUR","TOT","PC_LF","Q","1972-Q1",5.766667,
"USA","HUR","TOT","PC_LF","Q","1972-Q2",5.7,
"USA","HUR","TOT","PC_LF","Q","1972-Q3",5.566667,
"USA","HUR","TOT","PC_LF","Q","1972-Q4",5.366667,
"USA","HUR","TOT","PC_LF","Q","1973-Q1",4.933333,
"USA","HUR","TOT","PC_LF","Q","1973-Q2",4.933333,
"USA","HUR","TOT","PC_LF","Q","1973-Q3",4.8,
"USA","HUR","TOT","PC_LF","Q","1973-Q4",4.766667,
"USA","HUR","TOT","PC_LF","Q","1974-Q1",5.133333,
"USA","HUR","TOT","PC_LF","Q","1974-Q2",5.2,
"USA","HUR","TOT","PC_LF","Q","1974-Q3",5.633333,
"USA","HUR","TOT","PC_LF","Q","1974-Q4",6.6,
"USA","HUR","TOT","PC_LF","Q","1975-Q1",8.266666,
"USA","HUR","TOT","PC_LF","Q","1975-Q2",8.866667,
"USA","HUR","TOT","PC_LF","Q","1975-Q3",8.466666,
"USA","HUR","TOT","PC_LF","Q","1975-Q4",8.3,
"USA","HUR","TOT","PC_LF","Q","1976-Q1",7.733333,
"USA","HUR","TOT","PC_LF","Q","1976-Q2",7.566667,
"USA","HUR","TOT","PC_LF","Q","1976-Q3",7.733333,
"USA","HUR","TOT","PC_LF","Q","1976-Q4",7.766667,
"USA","HUR","TOT","PC_LF","Q","1977-Q1",7.5,
"USA","HUR","TOT","PC_LF","Q","1977-Q2",7.133333,
"USA","HUR","TOT","PC_LF","Q","1977-Q3",6.9,
"USA","HUR","TOT","PC_LF","Q","1977-Q4",6.666667,
"USA","HUR","TOT","PC_LF","Q","1978-Q1",6.333333,
"USA","HUR","TOT","PC_LF","Q","1978-Q2",6,
"USA","HUR","TOT","PC_LF","Q","1978-Q3",6.033333,
"USA","HUR","TOT","PC_LF","Q","1978-Q4",5.9,
"USA","HUR","TOT","PC_LF","Q","1979-Q1",5.866667,
"USA","HUR","TOT","PC_LF","Q","1979-Q2",5.7,
"USA","HUR","TOT","PC_LF","Q","1979-Q3",5.866667,
"USA","HUR","TOT","PC_LF","Q","1979-Q4",5.966667,
"USA","HUR","TOT","PC_LF","Q","1980-Q1",6.3,
"USA","HUR","TOT","PC_LF","Q","1980-Q2",7.333333,
"USA","HUR","TOT","PC_LF","Q","1980-Q3",7.666667,
"USA","HUR","TOT","PC_LF","Q","1980-Q4",7.4,
"USA","HUR","TOT","PC_LF","Q","1981-Q1",7.433333,
"USA","HUR","TOT","PC_LF","Q","1981-Q2",7.4,
"USA","HUR","TOT","PC_LF","Q","1981-Q3",7.4,
"USA","HUR","TOT","PC_LF","Q","1981-Q4",8.233334,
"USA","HUR","TOT","PC_LF","Q","1982-Q1",8.833333,
"USA","HUR","TOT","PC_LF","Q","1982-Q2",9.433333,
"USA","HUR","TOT","PC_LF","Q","1982-Q3",9.9,
"USA","HUR","TOT","PC_LF","Q","1982-Q4",10.66667,
"USA","HUR","TOT","PC_LF","Q","1983-Q1",10.36667,
"USA","HUR","TOT","PC_LF","Q","1983-Q2",10.13333,
"USA","HUR","TOT","PC_LF","Q","1983-Q3",9.366667,
"USA","HUR","TOT","PC_LF","Q","1983-Q4",8.533334,
"USA","HUR","TOT","PC_LF","Q","1984-Q1",7.866667,
"USA","HUR","TOT","PC_LF","Q","1984-Q2",7.433333,
"USA","HUR","TOT","PC_LF","Q","1984-Q3",7.433333,
"USA","HUR","TOT","PC_LF","Q","1984-Q4",7.3,
"USA","HUR","TOT","PC_LF","Q","1985-Q1",7.233333,
"USA","HUR","TOT","PC_LF","Q","1985-Q2",7.3,
"USA","HUR","TOT","PC_LF","Q","1985-Q3",7.2,
"USA","HUR","TOT","PC_LF","Q","1985-Q4",7.033333,
"USA","HUR","TOT","PC_LF","Q","1986-Q1",7.033333,
"USA","HUR","TOT","PC_LF","Q","1986-Q2",7.166667,
"USA","HUR","TOT","PC_LF","Q","1986-Q3",6.966667,
"USA","HUR","TOT","PC_LF","Q","1986-Q4",6.833333,
"USA","HUR","TOT","PC_LF","Q","1987-Q1",6.6,
"USA","HUR","TOT","PC_LF","Q","1987-Q2",6.266667,
"USA","HUR","TOT","PC_LF","Q","1987-Q3",6,
"USA","HUR","TOT","PC_LF","Q","1987-Q4",5.833333,
"USA","HUR","TOT","PC_LF","Q","1988-Q1",5.7,
"USA","HUR","TOT","PC_LF","Q","1988-Q2",5.466667,
"USA","HUR","TOT","PC_LF","Q","1988-Q3",5.466667,
"USA","HUR","TOT","PC_LF","Q","1988-Q4",5.333333,
"USA","HUR","TOT","PC_LF","Q","1989-Q1",5.2,
"USA","HUR","TOT","PC_LF","Q","1989-Q2",5.233333,
"USA","HUR","TOT","PC_LF","Q","1989-Q3",5.233333,
"USA","HUR","TOT","PC_LF","Q","1989-Q4",5.366667,
"USA","HUR","TOT","PC_LF","Q","1990-Q1",5.3,
"USA","HUR","TOT","PC_LF","Q","1990-Q2",5.333333,
"USA","HUR","TOT","PC_LF","Q","1990-Q3",5.7,
"USA","HUR","TOT","PC_LF","Q","1990-Q4",6.133333,
"USA","HUR","TOT","PC_LF","Q","1991-Q1",6.6,
"USA","HUR","TOT","PC_LF","Q","1991-Q2",6.833333,
"USA","HUR","TOT","PC_LF","Q","1991-Q3",6.866667,
"USA","HUR","TOT","PC_LF","Q","1991-Q4",7.1,
"USA","HUR","TOT","PC_LF","Q","1992-Q1",7.366667,
"USA","HUR","TOT","PC_LF","Q","1992-Q2",7.6,
"USA","HUR","TOT","PC_LF","Q","1992-Q3",7.633333,
"USA","HUR","TOT","PC_LF","Q","1992-Q4",7.366667,
"USA","HUR","TOT","PC_LF","Q","1993-Q1",7.133333,
"USA","HUR","TOT","PC_LF","Q","1993-Q2",7.066667,
"USA","HUR","TOT","PC_LF","Q","1993-Q3",6.8,
"USA","HUR","TOT","PC_LF","Q","1993-Q4",6.633333,
"USA","HUR","TOT","PC_LF","Q","1994-Q1",6.566667,
"USA","HUR","TOT","PC_LF","Q","1994-Q2",6.2,
"USA","HUR","TOT","PC_LF","Q","1994-Q3",6,
"USA","HUR","TOT","PC_LF","Q","1994-Q4",5.633333,
"USA","HUR","TOT","PC_LF","Q","1995-Q1",5.466667,
"USA","HUR","TOT","PC_LF","Q","1995-Q2",5.666667,
"USA","HUR","TOT","PC_LF","Q","1995-Q3",5.666667,
"USA","HUR","TOT","PC_LF","Q","1995-Q4",5.566667,
"USA","HUR","TOT","PC_LF","Q","1996-Q1",5.533333,
"USA","HUR","TOT","PC_LF","Q","1996-Q2",5.5,
"USA","HUR","TOT","PC_LF","Q","1996-Q3",5.266667,
"USA","HUR","TOT","PC_LF","Q","1996-Q4",5.333333,
"USA","HUR","TOT","PC_LF","Q","1997-Q1",5.233333,
"USA","HUR","TOT","PC_LF","Q","1997-Q2",5,
"USA","HUR","TOT","PC_LF","Q","1997-Q3",4.866667,
"USA","HUR","TOT","PC_LF","Q","1997-Q4",4.666667,
"USA","HUR","TOT","PC_LF","Q","1998-Q1",4.633333,
"USA","HUR","TOT","PC_LF","Q","1998-Q2",4.4,
"USA","HUR","TOT","PC_LF","Q","1998-Q3",4.533333,
"USA","HUR","TOT","PC_LF","Q","1998-Q4",4.433333,
"USA","HUR","TOT","PC_LF","Q","1999-Q1",4.3,
"USA","HUR","TOT","PC_LF","Q","1999-Q2",4.266667,
"USA","HUR","TOT","PC_LF","Q","1999-Q3",4.233333,
"USA","HUR","TOT","PC_LF","Q","1999-Q4",4.066667,
"USA","HUR","TOT","PC_LF","Q","2000-Q1",4.033333,
"USA","HUR","TOT","PC_LF","Q","2000-Q2",3.933333,
"USA","HUR","TOT","PC_LF","Q","2000-Q3",4,
"USA","HUR","TOT","PC_LF","Q","2000-Q4",3.9,
"USA","HUR","TOT","PC_LF","Q","2001-Q1",4.233333,
"USA","HUR","TOT","PC_LF","Q","2001-Q2",4.4,
"USA","HUR","TOT","PC_LF","Q","2001-Q3",4.833333,
"USA","HUR","TOT","PC_LF","Q","2001-Q4",5.5,
"USA","HUR","TOT","PC_LF","Q","2002-Q1",5.7,
"USA","HUR","TOT","PC_LF","Q","2002-Q2",5.833333,
"USA","HUR","TOT","PC_LF","Q","2002-Q3",5.733333,
"USA","HUR","TOT","PC_LF","Q","2002-Q4",5.866667,
"USA","HUR","TOT","PC_LF","Q","2003-Q1",5.866667,
"USA","HUR","TOT","PC_LF","Q","2003-Q2",6.133333,
"USA","HUR","TOT","PC_LF","Q","2003-Q3",6.133333,
"USA","HUR","TOT","PC_LF","Q","2003-Q4",5.833333,
"USA","HUR","TOT","PC_LF","Q","2004-Q1",5.7,
"USA","HUR","TOT","PC_LF","Q","2004-Q2",5.6,
"USA","HUR","TOT","PC_LF","Q","2004-Q3",5.433333,
"USA","HUR","TOT","PC_LF","Q","2004-Q4",5.433333,
"USA","HUR","TOT","PC_LF","Q","2005-Q1",5.3,
"USA","HUR","TOT","PC_LF","Q","2005-Q2",5.1,
"USA","HUR","TOT","PC_LF","Q","2005-Q3",4.966667,
"USA","HUR","TOT","PC_LF","Q","2005-Q4",4.966667,
"USA","HUR","TOT","PC_LF","Q","2006-Q1",4.733333,
"USA","HUR","TOT","PC_LF","Q","2006-Q2",4.633333,
"USA","HUR","TOT","PC_LF","Q","2006-Q3",4.633333,
"USA","HUR","TOT","PC_LF","Q","2006-Q4",4.433333,
"USA","HUR","TOT","PC_LF","Q","2007-Q1",4.5,
"USA","HUR","TOT","PC_LF","Q","2007-Q2",4.5,
"USA","HUR","TOT","PC_LF","Q","2007-Q3",4.666667,
"USA","HUR","TOT","PC_LF","Q","2007-Q4",4.8,
"USA","HUR","TOT","PC_LF","Q","2008-Q1",5,
"USA","HUR","TOT","PC_LF","Q","2008-Q2",5.333333,
"USA","HUR","TOT","PC_LF","Q","2008-Q3",6,
"USA","HUR","TOT","PC_LF","Q","2008-Q4",6.866667,
"USA","HUR","TOT","PC_LF","Q","2009-Q1",8.266666,
"USA","HUR","TOT","PC_LF","Q","2009-Q2",9.3,
"USA","HUR","TOT","PC_LF","Q","2009-Q3",9.633333,
"USA","HUR","TOT","PC_LF","Q","2009-Q4",9.933333,
"USA","HUR","TOT","PC_LF","Q","2010-Q1",9.833333,
"USA","HUR","TOT","PC_LF","Q","2010-Q2",9.633333,
"USA","HUR","TOT","PC_LF","Q","2010-Q3",9.466666,
"USA","HUR","TOT","PC_LF","Q","2010-Q4",9.5,
"USA","HUR","TOT","PC_LF","Q","2011-Q1",9.033334,
"USA","HUR","TOT","PC_LF","Q","2011-Q2",9.066667,
"USA","HUR","TOT","PC_LF","Q","2011-Q3",9,
"USA","HUR","TOT","PC_LF","Q","2011-Q4",8.633333,
"USA","HUR","TOT","PC_LF","Q","2012-Q1",8.266666,
"USA","HUR","TOT","PC_LF","Q","2012-Q2",8.2,
"USA","HUR","TOT","PC_LF","Q","2012-Q3",8.033334,
"USA","HUR","TOT","PC_LF","Q","2012-Q4",7.8,
"USA","HUR","TOT","PC_LF","Q","2013-Q1",7.733333,
"USA","HUR","TOT","PC_LF","Q","2013-Q2",7.533333,
"USA","HUR","TOT","PC_LF","Q","2013-Q3",7.233333,
"USA","HUR","TOT","PC_LF","Q","2013-Q4",6.933333,
"USA","HUR","TOT","PC_LF","Q","2014-Q1",6.666667,
"USA","HUR","TOT","PC_LF","Q","2014-Q2",6.2,
"USA","HUR","TOT","PC_LF","Q","2014-Q3",6.066667,
"USA","HUR","TOT","PC_LF","Q","2014-Q4",5.7,
"USA","HUR","TOT","PC_LF","Q","2015-Q1",5.533333,
"USA","HUR","TOT","PC_LF","Q","2015-Q2",5.433333,
"USA","HUR","TOT","PC_LF","Q","2015-Q3",5.1,
"USA","HUR","TOT","PC_LF","Q","2015-Q4",5.033333,
"USA","HUR","TOT","PC_LF","Q","2016-Q1",4.9,
"USA","HUR","TOT","PC_LF","Q","2016-Q2",4.933333,
"USA","HUR","TOT","PC_LF","Q","2016-Q3",4.9,
"USA","HUR","TOT","PC_LF","Q","2016-Q4",4.766667,
"USA","HUR","TOT","PC_LF","Q","2017-Q1",4.566667,
"USA","HUR","TOT","PC_LF","Q","2017-Q2",4.366667,
"USA","HUR","TOT","PC_LF","Q","2017-Q3",4.333333,
"USA","HUR","TOT","PC_LF","Q","2017-Q4",4.166667,
"USA","HUR","TOT","PC_LF","Q","2018-Q1",4.033333,
"USA","HUR","TOT","PC_LF","Q","2018-Q2",3.933333,
"USA","HUR","TOT","PC_LF","Q","2018-Q3",3.766667,
"USA","HUR","TOT","PC_LF","Q","2018-Q4",3.833333,
"USA","HUR","TOT","PC_LF","Q","2019-Q1",3.866667,
"USA","HUR","TOT","PC_LF","Q","2019-Q2",3.633333,
"USA","HUR","TOT","PC_LF","Q","2019-Q3",3.633333,
"USA","HUR","TOT","PC_LF","Q","2019-Q4",3.6,
"USA","HUR","TOT","PC_LF","Q","2020-Q1",3.8,
"USA","HUR","TOT","PC_LF","Q","2020-Q2",12.96667,
"USA","HUR","TOT","PC_LF","Q","2020-Q3",8.833333,
"USA","HUR","TOT","PC_LF","Q","2020-Q4",6.766667,
"USA","HUR","TOT","PC_LF","Q","2021-Q1",6.2,
"USA","HUR","TOT","PC_LF","Q","2021-Q2",5.933333,
"USA","HUR","TOT","PC_LF","Q","2021-Q3",5.133333,
"USA","HUR","TOT","PC_LF","Q","2021-Q4",4.2,
"USA","HUR","TOT","PC_LF","Q","2022-Q1",3.8,
"USA","HUR","TOT","PC_LF","Q","2022-Q2",3.6,
"USA","HUR","TOT","PC_LF","Q","2022-Q3",3.566667,
"USA","HUR","TOT","PC_LF","Q","2022-Q4",3.6,
